"attribute","missing_values"
"srch_id",0
"site_id",0
"visitor_location_country_id",0
"visitor_hist_starrating",0.949203635808466
"visitor_hist_adr_usd",0.94897735071789
"prop_country_id",0
"prop_id",0
"prop_starrating",0
"prop_review_score",0
"prop_brand_bool",0
"prop_location_score1",0
"prop_location_score2",0.219901511531968
"prop_log_historical_price",0
"position",0
"price_usd",0
"promotion_flag",0
"srch_destination_id",0
"srch_length_of_stay",0
"srch_booking_window",0
"srch_adults_count",0
"srch_children_count",0
"srch_room_count",0
"srch_saturday_night_bool",0
"srch_query_affinity_score",0.935985520981085
"orig_destination_distance",0.324257660869641
"random_bool",0
"comp1_rate",0.975812503642847
"comp1_inv",0.973870525802248
"comp1_rate_percent_diff",0.980953531489426
"comp2_rate",0.591663915413746
"comp2_inv",0.570367100164631
"comp2_rate_percent_diff",0.887817855426415
"comp3_rate",0.690564617603407
"comp3_inv",0.667028144661921
"comp3_rate_percent_diff",0.90464624601707
"comp4_rate",0.938007969188119
"comp4_inv",0.930690006165361
"comp4_rate_percent_diff",0.97356256026454
"comp5_rate",0.551791554725799
"comp5_inv",0.524030891746786
"comp5_rate_percent_diff",0.830367055795006
"comp6_rate",0.95156510829113
"comp6_inv",0.947366329948267
"comp6_rate_percent_diff",0.980603616487511
"comp7_rate",0.93640057866059
"comp7_inv",0.928116769560501
"comp7_rate_percent_diff",0.972064278679971
"comp8_rate",0.61344899822461
"comp8_inv",0.599160163659381
"comp8_rate_percent_diff",0.876021182059263
"click_bool",0
"gross_bookings_usd",0.972089488694519
"booking_bool",0
"date_hour",0
"date_month",0
"date_year",0
"relevance",0
"ignored_bool",0
